ticker,name,window,sharpe,buyhold_sharpe,cagr,max_drawdown,exposure,n_trades,win_rate,perm_p
SLV,Silber,8-9-10-11-12,0.36,0.59,0.0721,-0.267,0.405,10,0.7,0.443
UGA,Benzin,2-3-4-5,0.32,0.47,0.071,-0.7298,0.348,11,0.545,0.362
BNO,Rohöl (Brent),2-3-4-5,0.31,0.52,0.0683,-0.7126,0.348,11,0.545,0.398
GLD,Gold,8-9-10-11-12,0.23,0.78,0.0374,-0.176,0.405,10,0.7,0.731
USO,Rohöl (WTI),2-3-4-5,0.06,0.27,-0.0089,-0.8383,0.348,11,0.545,0.582
WEAT,Weizen,3-4-5-6,-0.14,-0.19,-0.0218,-0.4148,0.349,11,0.455,0.42
DBA,Agrar (breit),3-4-5-6,-0.18,0.23,-0.0008,-0.2696,0.349,11,0.545,0.711
SOYB,Sojabohnen,4-5-6-7,-0.27,0.17,-0.0165,-0.3239,0.337,11,0.545,0.811
CORN,Mais,3-4-5-6,-0.3,-0.09,-0.0286,-0.3689,0.349,11,0.182,0.713
UNG,Erdgas,9-10-11-12,-0.46,-0.2,-0.1694,-0.9279,0.32,10,0.3,0.891
