ticker,name,control,weeks,k_weeks,is_sharpe,oos_sharpe,buyhold_sharpe,cagr,max_drawdown,n_trades,win_rate,perm_p,dsr
GF=F,Mastrind,False,21,1,6.01,0.52,0.35,0.0546,-0.0602,11,0.909,0.0,0.0
HO=F,Heizöl,False,34,1,2.56,0.2,0.45,0.027,-0.0596,10,0.8,0.054,0.0
OJ=F,Orangensaft,False,29,1,4.76,0.04,0.19,0.0207,-0.0703,10,0.6,0.12,0.0
HG=F,Kupfer,False,6,1,3.96,-0.08,0.49,0.0162,-0.0584,11,0.636,0.079,0.0
PA=F,Palladium,False,41,1,4.13,-0.21,0.37,0.0079,-0.153,10,0.6,0.367,0.0
ZL=F,Sojaöl,False,9,1,4.91,-0.26,0.41,0.01,-0.0899,11,0.545,0.256,0.0
PL=F,Platin,False,2,1,8.31,-0.27,0.32,0.0059,-0.0987,11,0.636,0.364,0.0
CC=F,Kakao,False,26,1,5.74,-0.42,0.21,-0.0033,-0.1899,10,0.6,0.586,0.0
KE=F,Kansas-Weizen,False,48,1,4.38,-0.44,0.19,-0.0005,-0.1178,10,0.5,0.451,0.0
ZM=F,Sojamehl,False,26,1,5.86,-0.47,0.12,-0.0031,-0.0983,10,0.5,0.394,0.0
SB=F,Zucker,False,27,1,5.72,-0.52,0.05,-0.0007,-0.1071,10,0.4,0.457,0.0
NQ=F,Nasdaq 100 (E-mini),True,44,1,5.04,-0.52,0.85,0.004,-0.0818,10,0.6,0.479,0.0
CT=F,Baumwolle,False,48,1,3.37,-0.54,0.13,0.0021,-0.1024,10,0.4,0.482,0.0
ES=F,S&P 500 (E-mini),True,44,1,3.8,-0.65,0.69,0.005,-0.0498,10,0.6,0.386,0.0
KC=F,Kaffee,False,51,1,5.66,-0.66,0.31,-0.0176,-0.2296,10,0.5,0.793,0.0
ZO=F,Hafer,False,9,1,6.44,-0.73,0.25,-0.021,-0.2964,11,0.455,0.891,0.0
LE=F,Lebendrind,False,42,1,4.27,-0.87,0.27,-0.0009,-0.0786,10,0.4,0.662,0.0
HE=F,Magerschwein,False,47,1,5.73,-0.91,0.29,-0.0125,-0.187,10,0.3,0.945,0.0
ZB=F,US T-Bond,True,39,1,4.65,-1.62,-0.44,-0.0038,-0.0532,10,0.3,0.666,0.0
6E=F,Euro FX,True,52,1,8.14,-2.17,-0.14,-0.001,-0.0285,10,0.4,0.502,0.0
