md,mean_ret_pct
01-02,0.7773776059395814
01-03,0.6092600526356992
01-04,0.16808766539637326
01-05,0.8837418819748293
01-06,0.20049747375318178
01-07,-0.15581093060119094
01-08,0.23896784823453748
01-09,0.460517158395426
01-10,0.506444239339417
01-11,0.06740626255835837
01-12,0.48739102024376996
01-13,0.08559728264845418
01-14,-0.1747877790606636
01-15,0.027849430061347807
01-16,-0.0581557065148057
01-17,0.44426984839341865
01-18,-0.12086717304652245
01-19,1.119343004065576
01-20,1.7437499161622156
01-21,-0.0376626312937528
12-19,-0.02983044627389041
12-20,0.1924074916127475
12-21,0.07001110831423925
12-22,-0.07744849691823393
12-23,1.269796602721856
12-24,0.6195147848451589
12-26,1.4667033782485037
12-27,0.44629570329802126
12-28,-0.0014428269239504428
12-29,-1.1942141309482124
12-30,0.6335436567116437
12-31,0.16752822873345288
