year,full_pct,nonroll_pct,roll_pct,n_roll_days
2000,-9.967844383156955,0.1297362864541629,-10.084497417154559,11
2001,54.44603050057357,17.913114013142305,30.982912115576376,11
2002,-2.890900243518957,-4.35584363451389,1.5316601104169658,11
2003,4.695148367554269,-1.819820538999839,6.635727233664412,11
2004,52.76392104365439,16.199966423909085,31.46640721595082,10
2005,-7.904763966370709,-14.014209122217858,7.105179929706007,11
2006,63.43860918742812,22.897708798462247,32.98751521515195,11
2007,38.45395274480951,-0.5469396809617333,39.215376882983044,11
2008,-10.707758846674242,-9.898697438642312,-0.897946405914607,11
2009,34.89932648751082,2.0620414873570025,32.17384692841125,10
2010,-1.2503196202190314,-15.422073627081579,16.755854174500406,10
2011,0.5093848072011964,-6.397843573461537,7.379347489802446,11
2012,23.188905114942116,2.4960391861102105,20.188942024635924,9
2013,-4.358691419572147,-2.2034638013542107,-2.203787273038127,11
2014,5.090911793174069,-8.993610166392319,15.476409937058255,11
2015,-12.320245546122166,-12.102775587745217,-0.24741390849497558,10
2016,-8.66862522945937,-8.1414325189885,-0.5739178444948312,11
2017,-0.3733929406737224,1.2522674907111897,-1.6055545931690673,11
2018,10.312392408310366,7.535053395343327,2.58272900349652,11
2019,11.634355146133535,4.93297959519039,6.386338762890076,11
2020,76.784735182578,31.685524710024616,34.2476597726767,10
2021,15.338189695851344,-4.809954874254441,21.166230716132283,10
2022,-19.424086866626944,-36.54799726825247,26.98718663620334,11
2023,33.026820812353286,-1.9769331615457242,35.70971109441674,11
2024,6.429391053563793,-17.68655525798042,29.297700256776448,11
2025,52.03135433733617,6.481453843008822,42.7773089588765,11
