md,mean_pct,hit_pct
09-22,-0.8801747718332229,50.0
09-23,1.5987902624152246,50.0
09-24,-0.5144700050021255,50.0
09-25,-0.11918911318249754,57.89473684210527
09-26,-0.030752936623433813,60.0
09-27,3.608805182527599,63.1578947368421
09-28,2.477061802544854,50.0
09-29,5.806668109883531,72.22222222222221
09-30,-0.4133940470973152,27.77777777777778
10-01,-0.4942800131434549,33.33333333333333
10-02,0.22366584235661816,52.63157894736842
10-03,-0.3326239090426458,50.0
10-04,0.8485648982963329,73.68421052631578
10-05,1.4774253785620937,50.0
10-06,-1.2085197616536567,50.0
10-07,0.27908740123172876,61.111111111111114
10-08,0.031243292644285284,55.55555555555556
10-09,0.721115729888263,57.89473684210527
10-10,-0.2209863104172588,63.1578947368421
10-11,0.8552135910785262,47.368421052631575
10-12,-0.36412964058044806,50.0
10-13,0.053863373784420375,55.55555555555556
10-14,-0.7700449324630055,44.44444444444444
10-15,-0.28388918314374845,33.33333333333333
10-16,0.41187556326945285,21.052631578947366
10-17,-0.352637461813573,50.0
10-18,-1.4095128900941671,36.84210526315789
10-19,0.48598184922751375,72.22222222222221
10-20,1.1642790395072575,55.55555555555556
10-21,-0.9328680794730697,38.88888888888889
10-22,-0.3394896969598592,27.77777777777778
10-23,-0.6464641407421557,47.368421052631575
10-24,0.46018418016508017,50.0
10-25,1.7625098644664943,52.63157894736842
10-26,-0.34842277997626764,38.88888888888889
10-27,-1.7209370336577687,27.77777777777778
10-28,2.174132659634939,50.0
10-29,3.2333916774975684,70.58823529411765
10-30,4.9927656143366095,77.77777777777779
10-31,1.4465794310082292,65.0
11-01,-1.3686738385692776,26.31578947368421
11-02,-0.2230673245495122,38.88888888888889
11-03,1.219674217984601,75.0
11-04,0.3964304959083287,50.0
