week_ending,delta_pp,ret_5d,ret_22d
2000-08-06,-6.0,0.025873429250630853,0.05702041969465066
2000-08-20,-6.0,0.007771215860414182,-0.0068385893232107975
2000-08-27,-10.0,-0.004626703258895359,-0.03670569691298964
2000-09-10,-12.0,-0.024922551605001453,-0.011609907394973917
2001-06-03,-12.0,-0.00828056846605607,0.0009741134800862472
2001-06-24,-7.0,-0.04786126462021312,-0.02936417243384215
2001-07-22,-6.0,0.03061732539424189,-0.05283949110243058
2001-09-30,-7.0,-0.06606603321306914,-0.10210209298582551
2002-06-30,-6.0,0.05849893091633662,0.02604857229689328
2004-06-13,-11.0,-0.12613397733303144,-0.17515703016366058
2004-10-10,-12.0,-0.0021496622492330753,-0.061693871531460664
2005-05-29,-15.0,-0.034950674018742856,0.06907896078359399
2005-07-03,-7.0,-0.04019135835638454,-0.03157897657184505
2006-06-18,-6.0,-0.06168964853074199,0.02652256254716856
2008-06-15,-12.0,-0.050120682866570565,-0.05802736091768668
2010-09-26,-6.0,-0.058057221827256145,0.16671382971620718
2012-06-03,-7.0,0.09572446629862696,0.0348752288373082
2012-06-10,-7.0,0.10507400990591931,-0.07630837670779977
2012-08-05,-10.0,-0.050851964259253535,0.0062565704755646045
2017-06-18,-12.0,0.032077334852301354,-0.025773866838797344
2017-10-01,-7.0,0.020234676606507795,-0.0004398648187571297
2018-06-17,-7.0,-0.015803908133771638,0.01122312597753794
2018-09-02,-6.0,0.0030200531974702294,-0.07719255235416322
2019-08-04,-13.0,0.0020721625315309744,0.02158521849928574
2019-08-18,-10.0,-0.02568436042455946,-0.0032105208808586028
2019-08-25,-8.0,0.011273006028425847,0.026708305924431297
2020-06-21,-7.0,-0.04638518081646603,-0.013435702918066394
2020-08-02,-6.0,-0.01873128678694047,0.010231410961253351
2021-09-05,-14.0,-0.004716534538981798,0.19117489952485212
2022-06-19,-6.0,-0.3023482225705686,-0.30715626708187527
2022-08-07,-11.0,0.1758220150463854,0.06635162179834686
2023-07-16,-7.0,0.02503298623501471,0.02191881516203531
2023-07-30,-7.0,0.011001811623968072,0.0332396565629578
2024-06-09,-9.0,-0.026040874262134195,-0.04024508408164651
2024-07-07,-9.0,0.05258468406974037,-0.012626240017443835
2024-07-28,-6.0,-0.014220101527110729,0.0182194591707614
2024-08-04,-8.0,0.026145721772789177,0.04417723031094689
2024-09-08,-7.0,0.06233341763998679,0.06618301984173458
2024-09-22,-6.0,0.025941432210858206,0.011297143967425871
2024-10-27,-6.0,-0.00611143123146185,0.04562249938355456
2025-09-21,-6.0,-0.019745032086277647,-0.009017382137893493
